Action Category,IMU1 AccX Average,IMU1 AccX Minimum,IMU1 AccX Maximum,IMU1 AccX RMS,IMU1 AccX Stdev,IMU1 AccX Skewness,IMU1 AccX Kurtosis,IMU1 AccY Average,IMU1 AccY Minimum,IMU1 AccY Maximum,IMU1 AccY RMS,IMU1 AccY Stdev,IMU1 AccY Skewness,IMU1 AccY Kurtosis,IMU1 AccZ Average,IMU1 AccZ Minimum,IMU1 AccZ Maximum,IMU1 AccZ RMS,IMU1 AccZ Stdev,IMU1 AccZ Skewness,IMU1 AccZ Kurtosis,IMU1 GyroX Average,IMU1 GyroX Minimum,IMU1 GyroX Maximum,IMU1 GyroX RMS,IMU1 GyroX Stdev,IMU1 GyroX Skewness,IMU1 GyroX Kurtosis,IMU1 GyroY Average,IMU1 GyroY Minimum,IMU1 GyroY Maximum,IMU1 GyroY RMS,IMU1 GyroY Stdev,IMU1 GyroY Skewness,IMU1 GyroY Kurtosis,IMU1 GyroZ Average,IMU1 GyroZ Minimum,IMU1 GyroZ Maximum,IMU1 GyroZ RMS,IMU1 GyroZ Stdev,IMU1 GyroZ Skewness,IMU1 GyroZ Kurtosis,IMU2 AccX Average,IMU2 AccX Minimum,IMU2 AccX Maximum,IMU2 AccX RMS,IMU2 AccX Stdev,IMU2 AccX Skewness,IMU2 AccX Kurtosis,IMU2 AccY Average,IMU2 AccY Minimum,IMU2 AccY Maximum,IMU2 AccY RMS,IMU2 AccY Stdev,IMU2 AccY Skewness,IMU2 AccY Kurtosis,IMU2 AccZ Average,IMU2 AccZ Minimum,IMU2 AccZ Maximum,IMU2 AccZ RMS,IMU2 AccZ Stdev,IMU2 AccZ Skewness,IMU2 AccZ Kurtosis,IMU2 GyroX Average,IMU2 GyroX Minimum,IMU2 GyroX Maximum,IMU2 GyroX RMS,IMU2 GyroX Stdev,IMU2 GyroX Skewness,IMU2 GyroX Kurtosis,IMU2 GyroY Average,IMU2 GyroY Minimum,IMU2 GyroY Maximum,IMU2 GyroY RMS,IMU2 GyroY Stdev,IMU2 GyroY Skewness,IMU2 GyroY Kurtosis,IMU2 GyroZ Average,IMU2 GyroZ Minimum,IMU2 GyroZ Maximum,IMU2 GyroZ RMS,IMU2 GyroZ Stdev,IMU2 GyroZ Skewness,IMU2 GyroZ Kurtosis,IMU3 AccX Average,IMU3 AccX Minimum,IMU3 AccX Maximum,IMU3 AccX RMS,IMU3 AccX Stdev,IMU3 AccX Skewness,IMU3 AccX Kurtosis,IMU3 AccY Average,IMU3 AccY Minimum,IMU3 AccY Maximum,IMU3 AccY RMS,IMU3 AccY Stdev,IMU3 AccY Skewness,IMU3 AccY Kurtosis,IMU3 AccZ Average,IMU3 AccZ Minimum,IMU3 AccZ Maximum,IMU3 AccZ RMS,IMU3 AccZ Stdev,IMU3 AccZ Skewness,IMU3 AccZ Kurtosis,IMU3 GyroX Average,IMU3 GyroX Minimum,IMU3 GyroX Maximum,IMU3 GyroX RMS,IMU3 GyroX Stdev,IMU3 GyroX Skewness,IMU3 GyroX Kurtosis,IMU3 GyroY Average,IMU3 GyroY Minimum,IMU3 GyroY Maximum,IMU3 GyroY RMS,IMU3 GyroY Stdev,IMU3 GyroY Skewness,IMU3 GyroY Kurtosis,IMU3 GyroZ Average,IMU3 GyroZ Minimum,IMU3 GyroZ Maximum,IMU3 GyroZ RMS,IMU3 GyroZ Stdev,IMU3 GyroZ Skewness,IMU3 GyroZ Kurtosis
1,,,,,,,,,,,,,,,-1.1261176470588234,-2.204,-0.662,1.3178404795011287,0.705583258938389,-0.9032557155996267,-1.182614202635927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,0.1314117647058824,-5.336,7.032,3.2554097961971658,3.352864504025318,0.40084155306397595,-0.6151707778262034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2808235294117654,-3.4920000000000004,11.096000000000002,4.769745115893326,4.317995140040314,0.7160394050160616,-0.7830279270400324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23352941176470585,-6.15,4.7620000000000005,2.545963679792689,2.6132560656594452,-0.744166287170044,0.5503239264572732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7818823529411766,-0.8500000000000001,-0.732,0.7830200959031864,0.0434940834380683,-0.6500934298848695,-1.240692160432203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006588235294117652,-0.04,0.018,0.018597912596342,0.017927140121647298,-0.6820246801915103,-0.8284962598072885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6287058823529412,-0.6880000000000001,-0.586,0.6295884743694278,0.0343506999671811,-0.5830962577881761,-1.118489331336414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8098823529411763,-5.286,2.61,2.5457604896353145,1.8454128901939852,0.12809949186629394,0.7140943920795699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08482352941176446,-8.998000000000001,7.787999999999999,4.615599304659848,4.756847383447546,-0.33437213953120404,-0.7314184255016989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6504705882352946,-2.3920000000000003,8.656,3.9661731741136603,3.0413206448360364,0.41787031657273616,-0.8393330812986362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
